 Speed = (0.00, 0.00) pos = (0.15, 0.01) theta = 1.67
 Speed = (0.01, 0.01) pos = (0.15, 0.01) theta = 1.67
 Speed = (0.01, 0.02) pos = (0.15, 0.01) theta = 1.67
 Speed = (0.01, 0.01) pos = (0.15, 0.01) theta = 1.67
 Speed = (0.02, 0.00) pos = (0.15, 0.01) theta = 1.67
 Speed = (0.01, 0.01) pos = (0.15, 0.01) theta = 1.67
 Speed = (0.01, 0.01) pos = (0.15, 0.01) theta = 1.67
 Speed = (0.00, 0.03) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.01, 0.02) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.02, 0.01) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.03, 0.01) pos = (0.15, 0.01) theta = 1.67
 Speed = (0.02, 0.01) pos = (0.15, 0.01) theta = 1.67
 Speed = (0.01, 0.02) pos = (0.15, 0.01) theta = 1.67
 Speed = (0.01, 0.02) pos = (0.15, 0.01) theta = 1.67
 Speed = (0.01, 0.03) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.02) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.02) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.01, 0.01) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.02, 0.01) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.02, 0.01) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.02, 0.01) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.01, 0.02) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.03) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.02) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.01, 0.03) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.01, 0.01) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.01) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.01) pos = (0.15, 0.01) theta = 1.68
 Speed = (0.00, 0.01) pos = (0.15, 0.01) theta = 1.68
