 Speed = (0.00, 0.00) pos = (0.10, -0.05) theta = 0.00
 Speed = (0.00, 0.00) pos = (0.10, -0.05) theta = 0.00
 Speed = (0.00, 0.01) pos = (0.10, -0.05) theta = 0.00
 Speed = (0.00, 0.00) pos = (0.10, -0.05) theta = 0.00
 Speed = (0.01, 0.01) pos = (0.10, -0.05) theta = 0.00
 Speed = (0.01, 0.01) pos = (0.10, -0.05) theta = 0.00
 Speed = (0.01, 0.00) pos = (0.10, -0.05) theta = 0.00
 Speed = (0.01, 0.01) pos = (0.10, -0.05) theta = 0.00
 Speed = (0.00, 0.01) pos = (0.10, -0.05) theta = 0.00
 Speed = (0.00, 0.01) pos = (0.10, -0.05) theta = 0.00
 Speed = (0.00, 0.01) pos = (0.10, -0.05) theta = 0.00
 Speed = (0.00, 0.00) pos = (0.10, -0.05) theta = 0.00
 Speed = (0.00, 0.00) pos = (0.10, -0.05) theta = 0.00
 Speed = (0.00, 0.00) pos = (0.10, -0.05) theta = 0.00
 Speed = (0.00, 0.00) pos = (0.10, -0.05) theta = 0.00
 Speed = (0.00, 0.00) pos = (0.10, -0.05) theta = 0.00
 Speed = (0.00, 0.00) pos = (0.10, -0.05) theta = 0.00
 Speed = (0.00, 0.00) pos = (0.10, -0.05) theta = 0.00
 Speed = (0.00, 0.00) pos = (0.10, -0.05) theta = 0.00
 Speed = (0.00, 0.00) pos = (0.10, -0.05) theta = 0.00
 Speed = (0.00, 0.00) pos = (0.10, -0.05) theta = 0.00
 Speed = (0.00, 0.00) pos = (0.10, -0.05) theta = 0.00
 Speed = (0.00, 0.00) pos = (0.10, -0.05) theta = 0.00
 Speed = (0.00, 0.00) pos = (0.10, -0.05) theta = 0.00
 Speed = (0.00, 0.00) pos = (0.10, -0.05) theta = 0.00
 Speed = (0.01, 0.00) pos = (0.10, -0.05) theta = 0.00
 Speed = (0.01, 0.00) pos = (0.10, -0.05) theta = 0.00
